"NAME","DESCRIPTION","FORMULA"
"tettet6coa[m]","tetracosatetraenoyl coenzyme A","C45H70N7O17P3S"
"thcholstoic[x]","3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate","C27H45O5"
"thm[c]","Thiamin","C12H17N4OS"
"thm[m]","Thiamin","C12H17N4OS"
"thmtp[c]","thiamine(1+) triphosphate(4-)","C12H16N4O10P3S"
"thp2c[c]","1-piperideine-6-carboxylate","C6H8NO2"
"phom[c]","O-phosphonato-L-homoserine(2-)","C4H8NO6P"
"tmlys[c]","N6,N6,N6-Trimethyl-L-lysine","C9H20N2O2"
"tmndnccrn[c]","Timnodonyl carnitine","C27H43NO4"
"tmndnccrn[m]","Timnodonyl carnitine","C27H43NO4"
"q10[c]","ubiquinone-10","C59H90O4"
"q10h2[c]","Ubiquinol-10","C59H92O4"
"trdox[m]","Oxidized thioredoxin","X"
"trdrd[m]","Reduced thioredoxin","XH2"
"tre[c]","Trehalose","C12H22O11"
"triodthysuf[c]","Triiodothyronine sulfate","C15H11I3NO7S"
"ts3[c]","Tachysterol 3","C27H44O"
"tststeroneglc[c]","testosterone 3-glucosiduronic acid","C25H36O8"
"tststeroneglc[r]","testosterone 3-glucosiduronic acid","C25H36O8"
"tststerones[c]","testosterone sulfate","C19H27O5S"
"tststerone[c]","testosterone","C19H28O2"
"ttdcrn[c]","tetradecanoyl carnitine","C21H41NO4"
"ttdcrn[m]","tetradecanoyl carnitine","C21H41NO4"
"txa2[c]","thromboxane A2(1-)","C20H31O5"
"txa2[r]","thromboxane A2(1-)","C20H31O5"
"tymsf[c]","Tyramine O-sulfate","C8H11NO4S"
"tym[c]","tyraminium","C8H12NO"
"tyr_L[m]","L-tyrosine","C9H11NO3"
"udpacgal[c]","UDP-N-acetyl-D-galactosamine(2-)","C17H25N3O17P2"
"udpglcur[r]","UDP-D-glucuronate","C15H19N2O18P2"
"udpg[r]","UDPglucose","C15H22N2O17P2"
"udpg[g]","UDPglucose","C15H22N2O17P2"
"udpxyl[g]","UDP-alpha-D-xylose(2-)","C14H20N2O16P2"
"udpxyl[c]","UDP-alpha-D-xylose(2-)","C14H20N2O16P2"
"udpxyl[r]","UDP-alpha-D-xylose(2-)","C14H20N2O16P2"
"udpacgal[r]","UDP-N-acetyl-D-galactosamine(2-)","C17H25N3O17P2"
"ahandrostan[r]","3alpha-hydroxy-5beta-androstan-17-one","C19H30O2"
"ump[n]","UMP","C9H11N2O9P"
"uppg3[c]","Uroporphyrinogen III","C40H36N4O16"
"urate[c]","Urate","C5H4N4O3"
"urate[x]","Urate","C5H4N4O3"
"vacccrn[c]","Vaccenyl carnitine","C25H47NO4"
"vacccrn[m]","Vaccenyl carnitine","C25H47NO4"
"val_L[c]","L-valine","C5H11NO2"
"val_L[m]","L-valine","C5H11NO2"
"vitd3[c]","calciol","C27H44O"
"vitd2[m]","vitamin D2","C28H44O"
"vitd2[c]","vitamin D2","C28H44O"
"vitd3[m]","calciol","C27H44O"
"dhcholestanate[r]","3alpha,7alpha-Dihydroxy-5beta-cholestanate","C27H45O4"
"thcholstoic[r]","3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate","C27H45O5"
"whtststerone[c]","w hydroxy testosterone","C19H28O3"
"xan[x]","Xanthine","C5H4N4O2"
"xol7ah2[r]","5beta-cholestane-3alpha,7alpha-diol","C27H48O2"
"xoldiolone[m]","7alpha,12alpha-Dihydroxycholest-4-en-3-one","C27H44O3"
"xolest2_hs[c]","cholesterol ester","C27H45FULLR2CO2"
"xoltri24[c]","(24S)-7alpha,24-dihydroxycholesterol","C27H46O3"
"xoltri25[c]","7alpha,25-dihydroxycholesterol","C27H46O3"
"xoltri27[c]","7alpha,26-dihydroxycholesterol","C27H46O3"
"xoltriol[r]","5beta-cholestane-3alpha,7alpha,12alpha-triol","C27H48O3"
"xser[r]","Xyl-L-Ser (protein)","C5H9O4X"
"xyl_D[c]","aldehydo-D-xylose","C5H10O5"
"xylt[c]","xylitol","C5H12O5"
"Ser_Gly_Ala_X_Gly[r]","protein-linked serine residue (glycosaminoglycan attachment site)","XH"
"4abutn[e]","4-Aminobutanal","C4H10NO"
"acmana[e]","N-acetyl-D-mannosamine","C8H15NO6"
"ahdt[e]","7,8-dihydroneopterin 3'-triphosphate(4-)","C9H12N5O13P3"
"ctp[e]","CTP","C9H12N3O14P3"
"dgmp[e]","dGMP","C10H12N5O7P"
"dha[e]","glycerone","C3H6O3"
"dhap[e]","Dihydroxyacetone phosphate","C3H5O6P"
"dtmp[e]","dTMP","C10H13N2O8P"
"fad[e]","Flavin adenine dinucleotide oxidized","C27H31N9O15P2"
"fald[e]","formaldehyde","CH2O"
"g1p[e]","D-Glucose 1-phosphate","C6H11O9P"
"HC00229[e]","Isomaltose","C12H22O11"
"HC00250[e]","hydrosulfide","HS"
"HC01104[e]","4-nitrophenyl phosphate(2-)","C6H4NO6P"
"HC01361[e]","Dihydroneopterin","C9H13N5O4"
"HC01440[e]","3-Keto-beta-D-galactose","C6H10O6"
"HC01441[e]","Lactose-6P",NA
"HC01444[e]","Galactosylglycerol","C9H18O8"
"HC01446[e]","3-Ketolactose",NA
"HC01577[e]","gamma-Glutamyl-beta-cyanoalanine",NA
"HC01609[e]","UroporphyrinogenI","C40H36N4O16"
"HC01610[e]","CoproporphyrinogenI","C36H40N4O8"
"HC01700[e]","gamma-Glutamyl-3-aminopropiononitrile",NA
"HC02160[e]","GM2-pool",NA
"HC02161[e]","GM1-pool",NA
"itp[e]","ITP(3-)","C10H11N4O14P3"
"orot[e]","Orotate","C5H3N2O4"
"prpp[e]","5-Phospho-alpha-D-ribose 1-diphosphate","C5H8O14P3"
"ptrc[e]","Putrescine","C4H14N2"
"pydx5p[e]","Pyridoxal 5'-phosphate","C8H8NO6P"
"spmd[e]","Spermidine","C7H22N3"
"udpg[e]","UDPglucose","C15H22N2O17P2"
"HC02119[c]","Adenosylmethioninamine-potential",NA
"HC00822[l]","Chitobiose","C16H28N2O11"
"HC00617[c]","Ferricytochrome b5",NA
"HC00619[c]","Ferrocytochrome b5",NA
"dpcoa[m]","Dephospho-CoA","C21H33N7O13P2S"
"ppi[e]","Diphosphate","HO7P2"
"HC01672[c]","Acetyl adenylate","C12H15N5O8P"
"HC01434[c]","oxalatosuccinate(3-)","C6H3O7"
"HC01434[m]","oxalatosuccinate(3-)","C6H3O7"
"HC01434[x]","oxalatosuccinate(3-)","C6H3O7"
"HC00591[c]","2-oxoglutaramate","C5H6NO4"
"HC00591[m]","2-oxoglutaramate","C5H6NO4"
"uacgam[r]","UDP-N-acetyl-alpha-D-glucosamine(2-)","C17H25N3O17P2"
"acmana[r]","N-acetyl-D-mannosamine","C8H15NO6"
"HC01651[c]","Formamidopyrimidine nucleoside triphosphate",NA
"HC01651[n]","Formamidopyrimidine nucleoside triphosphate",NA
"cdp[e]","CDP","C9H12N3O11P2"
"HC01435[m]","3-Carboxy-1-hydroxypropyl-ThPP","C16H21N4O10P2S"
"HC01118[r]","presqualene diphosphate(3-)","C30H49O7P2"
"lac_L[x]","(S)-lactate","C3H5O3"
"HC00250[c]","hydrosulfide","HS"
"HC01496[m]","2-Amino-3-oxoadipate","C6H8NO5"
"glyc3p[x]","Glycerol 3-phosphate","C3H7O6P"
"HC01668[c]","Propinol adenylate",NA
"HC01668[m]","Propinol adenylate",NA
"HC01111[c]","Galactose-1P","C6H11O9P"
"glyald[m]","D-Glyceraldehyde","C3H6O3"
"r5p[r]","alpha-D-Ribose 5-phosphate","C5H9O8P"
"HC01162[c]","(2R,4S,5R,6R)-2-[({[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphinato)oxy]-4-hydroxy-5-(2-hydroxyacetamido)-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylate","C20H29N4O17P"
"HC01408[m]","3-Oxohexanoyl-CoA","C27H40N7O18P3S"
"arachd[x]","arachidonate","C20H31O2"
"pmtcoa[r]","Palmitoyl-CoA (n-C16:0CoA)","C37H62N7O17P3S"
"HC00342[m]","cis-aconitate(3-)","C6H3O6"
"thym[m]","Thymine","C5H6N2O2"
"56dthm[m]","5,6-dihydrothymine","C5H8N2O2"
"glyc_R[m]","D-glycerate","C3H5O4"
"3pg[m]","3-Phospho-D-glycerate","C3H4O7P"
"3hpp[m]","3-hydroxypropionate","C3H5O3"
"HC01161[c]","Apo-ACP",NA
"HC00682[m]","S-Acetyldihydrolipoamide","C10H19NO2S2"
"HC00695[m]","S-Succinyldihydrolipoamide","C12H20NO4S2"
"2mpdhl[m]","S-(2-Methylpropanoyl)-dihydrolipoamide","C12H23NO2S2"
"HC01377[m]","S-(3-Methylbutanoyl)-dihydrolipoamide","C13H25NO2S2"
"HC01115[c]","NeuNGc","C11H18NO10"
"HC01254[c]","6-Lactoyl-5,6,7,8-tetrahydropterin","C9H13N5O3"
"HC00361[c]","sedoheptulose 1,7-bisphosphate(4-)","C7H12O13P2"
"malcoa[r]","Malonyl-CoA","C24H33N7O19P3S"
"HC10859[r]","Malonyl-Carnitin",NA
"HC10859[c]","Malonyl-Carnitin",NA
"HC10859[m]","Malonyl-Carnitin",NA
"HC10859[x]","Malonyl-Carnitin",NA
"pmtcrn[r]","L-palmitoylcarnitine","C23H45NO4"
"pmtcrn[x]","L-palmitoylcarnitine","C23H45NO4"
"lnlccoa[r]","linoleic coenzyme A","C39H62N7O17P3S"
"HC10855[r]","linoleic-Carnitine",NA
"HC10855[c]","linoleic-Carnitine",NA
"lnlccoa[x]","linoleic coenzyme A","C39H62N7O17P3S"
"HC10855[x]","linoleic-Carnitine",NA
"arachdcoa[r]","arachidonoyl-CoA(4-)","C41H62N7O17P3S"
"arachdcrn[r]","C20:4 carnitine","C27H45NO4"
"arachdcrn[x]","C20:4 carnitine","C27H45NO4"
"HC10852[r]","palmitoleyl-CoA(4-)","C37H60N7O17P3S"
"HC10854[r]","palmitoleoyl-Carnitine",NA
"HC10852[c]","palmitoleyl-CoA(4-)","C37H60N7O17P3S"
"HC10854[c]","palmitoleoyl-Carnitine",NA
"HC10852[m]","palmitoleyl-CoA(4-)","C37H60N7O17P3S"
"HC10854[m]","palmitoleoyl-Carnitine",NA
"HC01712[m]","S-Glutaryldihydrolipoamide","C13H22NO4S2"
"4abutn[m]","4-Aminobutanal","C4H10NO"
"HC00576[c]","Homocarnosine",NA
"HC00718[c]","N-methylethanolaminium phosphate(1-)","C3H9NO4P"
"mev_R[c]","(R)-mevalonate","C6H11O4"
"dtdp[e]","dTDP","C10H13N2O11P2"
"fol[m]","Folate","C19H18N7O6"
"5fthf[m]","5-formyltetrahydrofolate(2-)","C20H21N7O7"
"hxdcal[c]","hexadecanal","C16H32O"
"pacald[m]","phenylacetaldehyde","C8H8O"
"pac[m]","phenylacetate","C8H7O2"
"betald[c]","betaine aldehyde","C5H12NO"
"HC01522[c]","Gentisate aldehyde","C7H6O3"
"HC00460[c]","2,5-dihydroxybenzoate","C7H5O4"
"HC00900[m]","Methylmalonate","C4H4O4"
"cholate[r]","Cholate","C24H39O5"
"cholcoa[r]","choloyl-CoA(4-)","C45H70N7O20P3S"
"ptth[m]","pantetheine","C11H22N2O4S"
"pan4p[m]","Pantetheine 4'-phosphate","C11H21N2O7PS"
"HC01231[c]","N-[(R)-pantothenoyl]-L-cysteinate","C12H21N2O6S"
"L2aadp6sa[c]","L-allysine","C6H11NO3"
"HC01501[c]","hydroxidodioxidosulfidosulfate(1-)","HO3S2"
"HC00832[c]","L-Fuculose","C6H12O5"
"HC01376[m]","S-(2-Methylbutanoyl)-dihydrolipoamide","C13H25NO2S2"
"HC00664[c]","D-tagatofuranose 6-phosphate(2-)","C6H11O9P"
"HC01180[c]","D-tagatofuranose 1,6-bisphosphate(4-)","C6H10O12P2"
"4ppcys[m]","N-((R)-4-Phosphopantothenoyl)-L-cysteine","C12H20N2O9PS"
"4hpro_LT[c]","trans-4-hydroxy-L-proline","C5H9NO3"
"1p3h5c[c]","L-1-Pyrroline-3-hydroxy-5-carboxylate","C5H6NO3"
"4hpro_LT[m]","trans-4-hydroxy-L-proline","C5H9NO3"
"thcholst[c]","3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al","C27H46O4"
"thcholstoic[c]","3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate","C27H45O5"
"dhcholoylcoa[c]","3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA","C48H74N7O19P3S"
"cholcoa[c]","choloyl-CoA(4-)","C45H70N7O20P3S"
"HC01415[m]","(2E)-Octenoyl-CoA","C29H44N7O17P3S"
"3odcoa[m]","3-Oxodecanoyl-CoA","C31H48N7O18P3S"
"HC01007[m]","L-Octanoylcarnitine","C15H29NO4"
"HC01007[x]","L-Octanoylcarnitine","C15H29NO4"
"ddcacoa[m]","Dodecanoyl-CoA (n-C12:0CoA)","C33H54N7O17P3S"
"3otdcoa[m]","3-Oxotetradecanoyl-CoA","C35H56N7O18P3S"
"2mop[c]","2-methyl-3-oxopropanoate","C4H5O3"
"HC00900[c]","Methylmalonate","C4H4O4"
"C02470[c]","Xanthurenic acid","C10H6NO4"
"HC00955[e]","L-3-Cyanoalanine","C4H6N2O2"
"C02528[r]","chenodeoxycholate","C24H39O4"
"dcholcoa[r]","chenodeoxycholoyl coenzyme a","C45H70N7O19P3S"
"C02528[c]","chenodeoxycholate","C24H39O4"
"dcholcoa[c]","chenodeoxycholoyl coenzyme a","C45H70N7O19P3S"
"HC01412[m]","trans-tetradec-2-enoyl-CoA(4-)","C35H56N7O17P3S"
"3ohdcoa[m]","3-oxopalmitoyl-CoA(4-)","C37H60N7O18P3S"
"HC01401[m]","(S)-3-Hydroxydodecanoyl-CoA","C33H54N7O18P3S"
"dd2coa[x]","trans-Dodec-2-enoyl-CoA","C33H52N7O17P3S"
"HC01401[x]","(S)-3-Hydroxydodecanoyl-CoA","C33H54N7O18P3S"
"HC01223[m]","3-hydroxy-2-methylpropanoyl-CoA(4-)","C25H38N7O18P3S"
"HC01587[c]","Acetoacetyl-ACP",NA
"HC01231[m]","N-[(R)-pantothenoyl]-L-cysteinate","C12H21N2O6S"
"HC01321[c]","(R)-3-Hydroxybutanoyl-ACP",NA
"HC01255[c]","But-2-enoyl-ACP",NA
"HC01588[c]","Butyryl-ACP",NA
"xol7ah2al[c]","3alpha,7alpha-dihydroxy-5beta-cholestan-26-al","C27H46O3"
"dhcholestanate[c]","3alpha,7alpha-Dihydroxy-5beta-cholestanate","C27H45O4"
"HC01322[c]","(R)-3-Hydroxydecanoyl-ACP",NA
"HC01596[c]","3-Oxodecanoyl-ACP",NA
"HC01597[c]","(2E)-Decenoyl-ACP",NA
"HC01323[c]","(R)-3-Hydroxyoctanoyl-ACP",NA
"HC01593[c]","3-Oxooctanoyl-ACP",NA
"HC01594[c]","(2E)-Octenoyl-ACP",NA
"HC01326[c]","(R)-3-Hydroxypalmitoyl-ACP",NA
"HC01605[c]","3-Oxohexadecanoyl-ACP",NA
"HC01606[c]","(2E)-Hexadecenoyl-ACP",NA
"HC01602[c]","3-Oxotetradecanoyl-ACP",NA
"HC01603[c]","(2E)-Tetradecenoyl-ACP",NA
"HC01710[c]","2,5-Diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)- amino-4-oxopyrimidine",NA
"HC01710[n]","2,5-Diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)- amino-4-oxopyrimidine",NA
"HC01601[c]","(2E)-Dodecenoyl-ACP",NA
"HC01397[m]","(S)-3-Hydroxyhexadecanoyl-CoA","C37H62N7O18P3S"
"HC01397[x]","(S)-3-Hydroxyhexadecanoyl-CoA","C37H62N7O18P3S"
"HC01399[m]","(S)-3-Hydroxytetradecanoyl-CoA","C35H58N7O18P3S"
"HC01399[x]","(S)-3-Hydroxytetradecanoyl-CoA","C35H58N7O18P3S"
"HC01412[x]","trans-tetradec-2-enoyl-CoA(4-)","C35H56N7O17P3S"
"3oddcoa[m]","3-Oxododecanoyl-CoA","C33H52N7O18P3S"
"dcacoa[m]","Decanoyl-CoA (n-C10:0CoA)","C31H50N7O17P3S"
"HC01403[m]","(S)-Hydroxydecanoyl-CoA","C31H50N7O18P3S"
"HC01403[x]","(S)-Hydroxydecanoyl-CoA","C31H50N7O18P3S"
"dc2coa[m]","trans-Dec-2-enoyl-CoA","C31H48N7O17P3S"
"HC01414[x]","trans-dec-2-enoyl-CoA(4-)","C31H48N7O17P3S"
"HC01405[m]","(S)-Hydroxyoctanoyl-CoA","C29H46N7O18P3S"
"HC01406[m]","3-Oxooctanoyl-CoA","C29H44N7O18P3S"
"HC01409[m]","Hexanoyl-CoA","C27H42N7O17P3S"
"HC01407[m]","(S)-Hydroxyhexanoyl-CoA","C27H42N7O18P3S"
"HC01410[m]","(2E)-Hexenoyl-CoA","C27H40N7O17P3S"
"xol7ah3[c]","5beta-cholestane-3alpha,7alpha,26-triol","C27H48O3"
"xoltetrol[c]","5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol","C27H48O4"
"HC01459[x]","3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA","C48H76N7O21P3S"
"34dhmald[m]","3,4-Dihydroxymandelaldehyde","C8H8O4"
"34dhoxmand[m]","3,4-Dihydroxymandelate","C8H7O5"
"3mox4hpac[m]","(4-hydroxy-3-methoxyphenyl)acetaldehyde","C9H10O3"
"homoval[m]","Homovanillate","C9H9O4"
"3m4hpga[m]","3-Methoxy-4-hydroxyphenylglycolaldehyde","C9H10O4"
"3mox4hoxm[m]","3-Methoxy-4-hydroxymandelate","C9H9O5"
"HC01589[c]","3-Oxohexanoyl-ACP",NA
"HC01590[c]","D-3-Hydroxyhexanoyl-ACP",NA
"HC01591[c]","(2E)-Hexenoyl-ACP",NA
"HC01592[c]","Hexanoyl-ACP",NA
"HC01595[c]","Octanoyl-ACP","C8H15ORS"
"HC01598[c]","Decanoyl-ACP","C10H19ORS"
"HC01599[c]","3-Oxododecanoyl-ACP",NA
"HC01600[c]","D-3-Hydroxydodecanoyl-ACP",NA
"HC01652[c]","2,5-Diaminopyrimidine nucleoside triphosphate","C9H14N5O14P3"
"HC01652[n]","2,5-Diaminopyrimidine nucleoside triphosphate","C9H14N5O14P3"
"HC02228[c]","Hexadecenal",NA
"HC01842[c]","Phosphodimethylethanolamine","C4H10NO4P"
"HC01797[c]","Activated_methyl_group",NA
"HC00001[c]","Albumin",NA
"HC00001[e]","Albumin",NA
"HC00001[l]","Albumin",NA
"HC00002[c]","Antichymotrypsin",NA
"HC00002[e]","Antichymotrypsin",NA
"HC00002[l]","Antichymotrypsin",NA
"HC00003[c]","Antitrypsin",NA
"HC00003[e]","Antitrypsin",NA
"HC00003[l]","Antitrypsin",NA
"HC00004[c]","ApoA1",NA
"HC00004[e]","ApoA1",NA
"ile_L[l]","L-isoleucine","C6H13NO2"
"inost[r]","myo-inositol","C6H12O6"
"HC00319[c]","Malonate","C3H2O4"
"HC00319[m]","Malonate","C3H2O4"
"adp[l]","ADP","C10H12N5O10P2"
"atp[l]","ATP","C10H12N5O13P3"
"cmp[r]","CMP","C9H12N3O8P"
"acgam[r]","N-acetyl-D-glucosamine","C8H15NO6"
"thr_L[l]","L-threonine","C4H9NO3"
"arachd[l]","arachidonate","C20H31O2"
"hdca[l]","Hexadecanoate (n-C16:0)","C16H31O2"
"na1[r]","Sodium","Na"
"strdnc[l]","stearidonic acid C18:4, n-3","C18H27O2"
"strdnc[r]","stearidonic acid C18:4, n-3","C18H27O2"
"lnlc[l]","linoleate","C18H31O2"
"lnlc[r]","linoleate","C18H31O2"
"lanost[x]","lanosterol","C30H50O"
"HC01787[e]","Lepidimoide",NA
"HC01787[c]","Lepidimoide",NA
"C02528[e]","chenodeoxycholate","C24H39O4"
"HC01007[c]","L-Octanoylcarnitine","C15H29NO4"
"dhcholoylcoa[m]","3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA","C48H74N7O19P3S"
"C02470[e]","Xanthurenic acid","C10H6NO4"
"HC01852[c]","Fibrinogen",NA
"HC01852[e]","Fibrinogen",NA
"HC01852[l]","Fibrinogen",NA
"HC01939[c]","Haptoglobin",NA
"HC01939[e]","Haptoglobin",NA
"HC01939[l]","Haptoglobin",NA
"HC01942[c]","Plasminogen",NA
"HC01942[e]","Plasminogen",NA
"HC01942[l]","Plasminogen",NA
"HC01943[c]","Prothrombin",NA
"HC01943[e]","Prothrombin",NA
"HC01943[l]","Prothrombin",NA
"arg_L[l]","L-argininium(1+)","C6H15N4O2"
"asn_L[l]","L-asparagine","C4H8N2O3"
"asp_L[l]","L-aspartate(1-)","C4H6NO4"
"cys_L[l]","L-cysteine","C3H7NO2S"
"gln_L[l]","L-glutamine","C5H10N2O3"
"his_L[l]","L-histidine","C6H9N3O2"
"leu_L[l]","L-leucine","C6H13NO2"
"lys_L[l]","L-lysinium(1+)","C6H15N2O2"
"met_L[l]","L-methionine","C5H11NO2S"
"phe_L[l]","L-phenylalanine","C9H11NO2"
"ser_L[l]","L-serine","C3H7NO3"
"trp_L[l]","L-tryptophan","C11H12N2O2"
"tyr_L[l]","L-tyrosine","C9H11NO3"
"HC01944[c]","ApoTransferin",NA
"HC01944[e]","ApoTransferin",NA
"HC01944[l]","ApoTransferin",NA
"HC00005[c]","ApoB100",NA
"met_L[m]","L-methionine","C5H11NO2S"
"his_L[m]","L-histidine","C6H9N3O2"
"thr_L[m]","L-threonine","C4H9NO3"
"HC02222[m]","mitoApo-ACP",NA
"HC00006[c]","ApoC1",NA
"HC00007[c]","ApoC2",NA
"HC00008[c]","ApoC3",NA
"HC00009[c]","ApoE",NA
"HC00005[r]","ApoB100",NA
"HC00009[r]","ApoE",NA
"HC00004[r]","ApoA1",NA
"HC00004[l]","ApoA1",NA
"HC00006[r]","ApoC1",NA
"HC00007[r]","ApoC2",NA
"HC00008[r]","ApoC3",NA
"HC02108[r]","4alpha-Methylzymosterol-4-carboxylate",NA
"HC02109[r]","3-Keto-4-methylzymosterol","C28H44O"
"HC02110[r]","4alpha-Methylzymosterol","C28H46O"
"val_L[l]","L-valine","C5H11NO2"
"2obut[m]","2-Oxobutanoate","C4H5O3"
"cdpchol[r]","CDPcholine","C14H25N4O11P2"
"HC02020[r]","Cholesterol-ester-palm","C43H76O2"
"hdd2coa[r]","trans-Hexadec-2-enoyl-CoA","C37H60N7O17P3S"
"HC02021[r]","Cholesterol-ester-palmn",NA
"stcoa[r]","Stearoyl-CoA (n-C18:0CoA)","C39H66N7O17P3S"
"HC02022[r]","Cholesterol-ester-stea",NA
"odecoa[r]","Octadecenoyl-CoA (n-C18:1CoA)","C39H64N7O17P3S"
"HC02023[r]","Cholesterol-ester-ol","C45H78O2"
"HC02024[r]","Cholesterol-ester-lin","C45H76O2"
"lnlncgcoa[r]","gamma-linolenoyl-CoA(4-)","C39H60N7O17P3S"
"HC02025[r]","Cholesterol-ester-ala",NA
"HC02026[r]","Cholesterol-ester-gla",NA
"HC02027[r]","Cholesterol-ester-arach",NA
"HC02020[l]","Cholesterol-ester-palm","C43H76O2"
"hdcea[r]","Hexadecenoate (n-C16:1)","C16H29O2"
"HC02022[l]","Cholesterol-ester-stea",NA
"ocdcea[r]","octadecenoate (n-C18:1)","C18H33O2"
"HC02023[l]","Cholesterol-ester-ol","C45H78O2"
"ocdcea[l]","octadecenoate (n-C18:1)","C18H33O2"
"HC02024[l]","Cholesterol-ester-lin","C45H76O2"
"lnlnca[r]","alpha-linolenate","C18H29O2"
"lnlncg[r]","gamma-linolenate","C18H29O2"
"HC02027[l]","Cholesterol-ester-arach",NA
"HC02029[c]","1-Acylglycerol-3P-palm",NA
"HC02030[c]","1-Acylglycerol-3P-palmn",NA
"HC02031[c]","1-Acylglycerol-3P-stea",NA
"HC02032[c]","1-Acylglycerol-3P-ol",NA
"HC02033[c]","1-Acylglycerol-3P-lin",NA
"HC02036[c]","1-Acylglycerol-3P-arach",NA
"lnlncg[l]","gamma-linolenate","C18H29O2"
"hdcea[l]","Hexadecenoate (n-C16:1)","C16H29O2"
"HC02097[c]","3-Oxostearoyl-ACP",NA
"HC02098[c]","3-Hydroxystearoyl-ACP",NA
"HC02099[c]","(2E)-Octadecenoyl-ACP",NA
"HC01988[c]","Stearoyl-ACP",NA
"HC02111[c]","ATP-energy",NA
"HC02111[m]","ATP-energy",NA
"HC02112[r]","NADH-redox-potential",NA
"HC02112[c]","NADH-redox-potential",NA
"HC02112[m]","NADH-redox-potential",NA
"HC02112[x]","NADH-redox-potential",NA
"HC02113[r]","NADPH-redox-potential",NA
"HC02113[c]","NADPH-redox-potential",NA
"HC02113[m]","NADPH-redox-potential",NA
"HC02113[x]","NADPH-redox-potential",NA
"HC02114[c]","FADH-redox-potential",NA
"HC02115[m]","Proton-gradient",NA
"HC02115[c]","Proton-gradient",NA
"HC02116[c]","activated-sulphur",NA
"HC00005[l]","ApoB100",NA
"HC00009[l]","ApoE",NA
"lnlnca[l]","alpha-linolenate","C18H29O2"
"HC02100[l]","Dihomo-gamma-linolenate","C20H33O2"
"HC02100[r]","Dihomo-gamma-linolenate","C20H33O2"
"HC00822[e]","Chitobiose","C16H28N2O11"
"HC02121[c]","S-(hydroxymethyl)glutathione(1-)","C11H18N3O7S"
"HC02129[c]","THF-hexaglutamate",NA
"HC02136[c]","Glycogenin-G7G1",NA
"HC02147[c]","L-Oleoylcarnitine",NA
"HC02147[m]","L-Oleoylcarnitine",NA
"HC02149[c]","O-Propanoylcarnitine","C10H19NO4"
"HC02149[m]","O-Propanoylcarnitine","C10H19NO4"
"btcoa[c]","Butanoyl-CoA","C25H38N7O17P3S"
"HC02150[c]","O-Butanoylcarnitine",NA
"HC02150[m]","O-Butanoylcarnitine",NA
"HC02223[m]","mitoACP",NA
"dlnlcgcoa[r]","dihomo-gamma-linolenyl coenzyme A","C41H64N7O17P3S"
"HC10856[m]","trans,cis-octadeca-2,9-dienoyl-CoA",NA
"HC10857[m]","(S)-3-hydroxyoleyleoyl-CoA",NA
"HC10858[m]","3-oxooleoyl-CoA",NA
"HC02192[e]","taurolithocholate","C26H44NO5S"
"HC02192[c]","taurolithocholate","C26H44NO5S"
"HC02193[e]","glycolithocholate","C26H42NO4"
"HC02193[c]","glycolithocholate","C26H42NO4"
"HC02195[e]","tauroursodeoxycholate",NA
"HC02195[c]","tauroursodeoxycholate",NA
"HC02196[e]","glycoursodeoxycholate",NA
"HC02196[c]","glycoursodeoxycholate",NA
"HC02220[e]","sulfochenodeoxycholate",NA
"HC02220[c]","sulfochenodeoxycholate",NA
"HC02154[c]","GM4-pool",NA
"HC02154[e]","GM4-pool",NA
"HC02175[c]","caprate","C10H19O2"
"HC02175[e]","caprate","C10H19O2"
"HC02176[e]","laurate","C12H23O2"
"HC02199[c]","glutathionyl-leuc4",NA
"HC02199[e]","glutathionyl-leuc4",NA
"HC02200[c]","S-glutathionyl-2-4-dinitrobenzene",NA
"HC02200[e]","S-glutathionyl-2-4-dinitrobenzene",NA
"HC02201[c]","S-glutathionyl-ethacrynic-acid",NA
"HC02201[e]","S-glutathionyl-ethacrynic-acid",NA
"HC02172[e]","Zinc","Zn"
"HC02172[c]","Zinc","Zn"
"HC02191[e]","lithocholate","C24H39O3"
"HC02191[c]","lithocholate","C24H39O3"
"HC02194[e]","ursodeoxycholate",NA
"HC02194[c]","ursodeoxycholate",NA
"HC02197[e]","sulfoglycolithocholate(2-)","C26H41NO7S"
"HC02197[c]","sulfoglycolithocholate(2-)","C26H41NO7S"
